id_themoviedb,id_imdb,title,original_title,description,dt_launch,original_language,media_type,poster_url,popularity,vote_average,vote_count,adult
15053,tt0837803,Sexo e Mentiras,Sex and Breakfast,"O filme interliga as vidas de dois casais que experimentam na troca de parceiro uma forma de melhorar o relacionamento no sexo, amor e comunicação.",2007-11-29,en,movie,https://image.tmdb.org/t/p/w500/wI2hFWIsRhEjrnY5KEVNcSik9Ay.jpg,1.2671,5.402,56,False
18549,tt0432290,Flannel Pajamas,Flannel Pajamas,,2006-11-15,en,movie,https://image.tmdb.org/t/p/w500/8IZ8mpR4FacxxBpUYQnqtIBKXq2.jpg,1.1173,5.3,10,False
250761,tt3279124,Os Últimos Dias no Vietnã,Last Days in Vietnam,"Durante as caóticas semanas finais da Guerra do Vietnã, o exército comunista norte-vietnamita se aproxima de Saigon, enquanto o povo sul-vietnamita, em pânico, tenta desesperadamente escapar. Nesse momento de intensa turbulência, a oposição democrata recém-eleita, formando maioria na congresso, corta as verbas militares, forçando a retirada imediata das tropas americanas, enquanto os líderes vietcongues do norte desafiam abertamente o acordo de Paris. No terreno, soldados e diplomatas americanos enfrentam um dilema moral angustiante: obedecer às ordens da Casa Branca de evacuar apenas cidadãos dos EUA, enquanto uma nação aliada à beira do colapso clama desesperadamente por ajuda.",2014-09-05,en,movie,https://image.tmdb.org/t/p/w500/6HUVUGg9DmmMvwXinoJJBUTa4NI.jpg,0.2075,7.258,93,False
21014,tt0415949,Competindo Com os Steins,Keeping Up with the Steins,"Um garoto judeu está na época de fazer seu bar mitzvah, mas o problema é que ele não sabe nada de hebraico. Seu pai está planejando uma grande festa. O garoto só quer ter um pouco de espaço, e decide chamar seu avô duas semanas antes da festa. Assim, a família inteira acaba se reunindo, e a delicada relação do pai e o garoto com seu avô terá uma nova chance de recomeçar.",2006-05-12,en,movie,https://image.tmdb.org/t/p/w500/bYp81rOQZEoFfDMX6xqRU1x3R7M.jpg,0.3251,5.2,41,False
18248,tt0312700,O Forasteiro,The Foreigner,"O agente secreto Jonathon Cold está na França, onde trabalha para o milionário Alexander Morquest, mas planeja deixar o país e ir para a Polônia enterrar o pai recentemente morto. Morquest lhe pede um favor: entregar na Alemanha um pacote para Jerome Van Aiken, outro milionário. O conteúdo secreto atrai vários assassinos e Cold percebe que tem de estar um passo à frente dos outros para permanecer vivo.",2003-06-01,en,movie,https://image.tmdb.org/t/p/w500/v2b9FhXcmY2GhpFg0Y3dAcdiRUx.jpg,0.9258,3.882,157,False
11088,tt0252503,O Assalto,Heist,"Joe Moore (Gene Hackman) é um ladrão de princípios que tem a opinião de que um bom roubo deve ter uma fuga perfeita. Porém, justamente em seu último assalto, Moore se deixa filmar por uma câmera de segurança. Este descuido gera um grande desentendimento com Bergman (Danny DeVito), seu receptador, que exige que Moore faça mais um assalto para compensar os problemas ocorridos. Deste modo, Moore precisa convencer seus comparsas Bobby Blane (Delroy Lindo) e Pinky Pincus (Ricky Jay) a fazerem mais um roubo, antes que o próprio Moore parta para a América do Sul para viver sua aposentadoria.",2001-11-09,en,movie,https://image.tmdb.org/t/p/w500/cKiXZzivhatd0pawUeybv4kumaC.jpg,1.8375,6.316,572,False
26449,tt0299203,Sex and the Teenage Mind,Sex and the Teenage Mind,,2002-01-01,en,movie,https://image.tmdb.org/t/p/w500/amnMLq4CWMKIst98VFGL21KHv9Z.jpg,0.3389,5.7,41,False
250745,tt2171902,Happy Valley,Happy Valley,,2014-11-14,en,movie,https://image.tmdb.org/t/p/w500/xyBAJKLABZrcep3IdpQovgKa6jU.jpg,0.5036,6.8,33,False
86820,tt1707391,4:44: O Fim do Mundo,4:44 Last Day on Earth,"Os meios de comunicação anunciam o fim do mundo para o dia seguinte. Um casal de Nova York resolve dedicar as poucas horas que sobram de existência ao amor, fé e necessidade de seguir com a vida.",2012-03-23,en,movie,https://image.tmdb.org/t/p/w500/6ufmCGHgs0XaEavfAPHwiNcnxrq.jpg,1.0034,4.7,171,False
1187315,tt22185974,Los aitas,Los aitas,,2025-03-21,es,movie,https://image.tmdb.org/t/p/w500/RoT56HuDx3ib1Gdoo0SY4QSW7h.jpg,1.0377,4.955,11,False
26014,tt0243931,O Segredo do Sucesso,Good Advice,"Ryan Turner (Charlie Sheen), executivo de sucesso de Wall Street, tem um plano infalível para ficar milionário, mas as coisas não correm como o planejado e ele perde tudo o que tem. Totalmente arruinado e desmoralizado, vai morar com a sua namorada Cindy (Denise Richards), jornalista responsável pela coluna Pergunte a Cindy . Quando percebe que ele empobreceu, ela o deixa e sai à procura de perspectivas mais favoráveis. Desempregado, sem namorada e sem dinheiro, Ryan se apossa secretamente da coluna de Cindy, escrevendo por ela. Com a ajuda da editora-chefe de Cindy, Paige (Angie Harmon) com quem inicia um relacionamento, a coluna de Ryan se torna um sucesso nacional. O único problema agora é manter a sua identidade secreta enquanto a cidade inteira quer saber quem é Cindy.",2001-11-15,en,movie,https://image.tmdb.org/t/p/w500/wXRPthbHNOoHsA5G9IzechUedVV.jpg,2.4622,5.9,96,False
107287,tt0068207,Ana e os Lobos,Ana y los lobos,"Ana, uma bela jovem inglesa, é contratada para ser governanta em uma mansão na Espanha. Sua beleza atrai três moradores da casa, e ela acaba se submetendo aos desejos dos homens.",1973-06-04,es,movie,https://image.tmdb.org/t/p/w500/dqRy4HlH2otz9m3sA5EXsoiaLHw.jpg,0.3799,6.9,54,False
717151,tt12572040,O Pior Jogador de Golfe do Mundo,The Phantom of the Open,"A vida do motorista de guindaste Maurice Flitcroft muda para sempre quando ele acidentalmente descobre o golfe através da televisão. Acreditando que não foi por acaso, Maurice se prepara para se classificar para o Aberto da Grã-Bretanha de 1976.",2022-03-18,en,movie,https://image.tmdb.org/t/p/w500/6bcrhJQLoLNsYX4UGTOMQkCiACA.jpg,1.1302,6.7,119,False
39072,tt1219828,Lágrimas de Felicidade,Happy Tears,"Duas filhas precisam se unir para ajudar o pai delas, que foi diagnosticado com uma espécie incomum de demência. Durante a jornada, a filha que retorna da capital descobre vários problemas e acaba em busca da redenção dos seus erros no passado.",2009-10-16,en,movie,https://image.tmdb.org/t/p/w500/aeLEwPg2bgUIgUGSw4zXtU33XdN.jpg,0.2887,5.103,34,False
29134,tt1190858,Amreeka,Amreeka,,2009-06-17,en,movie,https://image.tmdb.org/t/p/w500/tMQEHscCqKLz7JXFfU87kdZU8uE.jpg,0.9283,6.7,54,False
12779,tt0291502,Destino Insólito,Swept Away,"Um magnata da indústria farmacêutica, Anthony Tony Leighton (Bruce Greenwood), é casado com a bela e extremamente arrogante Amber (Madonna). Tony alugou uma embarcação para, junto com a mulher e alguns amigos, fazerem um cruzeiro da Grécia até a Itália. Porém nada faz Amber feliz, com ela implicando especialmente com Giuseppe Esposito (Adriano Giannini), um pescador que está trabalhando no navio. Um dia Amber descobre que seu marido e a maioria dos seus convidados pegaram um bote para fazer um passeio nas cavernas das ilhas. Ela fica irritada e ordena que Peppe desça outro bote, apesar dele avisá-la que o momento não é uma boa hora, por causa das correntes. O temor de Peppe logo se concretiza, pois o motor do bote quebra. Para piorar ele e Amber brigam por um sinalizador e acabam dando um tiro, que fura o bote.",2002-10-11,en,movie,https://image.tmdb.org/t/p/w500/4qz05RKdAE889iT65aoSaB45qGs.jpg,2.397,4.781,290,False
499932,tt7395114,O Diabo de Cada Dia,The Devil All the Time,"Em um lugar tomado por corrupção e violência, um jovem enfrenta figuras sinistras para proteger quem mais ama.",2020-09-11,en,movie,https://image.tmdb.org/t/p/w500/spqWjgLWvWlluIodXFn1SsNtISC.jpg,3.6082,7.202,3479,False
915939,tt15239466,Loving Highsmith,Loving Highsmith,,2022-04-07,en,movie,https://image.tmdb.org/t/p/w500/1Y4wZhIkDOnO1pdYszjzwYPq89.jpg,0.9785,6.0,20,False
293167,tt3731562,Kong: A Ilha da Caveira,Kong: Skull Island,"Um ex-militar viaja com um grupo de desbravadores até a mítica Ilha da Caveira, onde seu irmão desapareceu enquanto procurava o Titan, soro que teria o poder de curar todas as doenças. Além de resgatar o irmão, o homem irá enfrentar as criaturas que habitam o local. A equipe de exploradores se aventura nas profundezas da ilha desconhecida no Pacífico, que é tão bonita quanto traiçoeira, sem saber que estão atravessando para o domínio do mítico Kong.",2017-03-08,en,movie,https://image.tmdb.org/t/p/w500/vhSXxrwfkFDiFRR8S6BSBQuCeQT.jpg,7.604,6.546,10767,False
51927,tt0334416,Stevie - Uma História Inacabada,Stevie,,2002-09-09,en,movie,https://image.tmdb.org/t/p/w500/67TAylTWoysC2ffqVO18do0rwEE.jpg,0.2908,6.9,30,False
83686,tt1840417,As Palavras,The Words,"Rory Jansen (Bradley Cooper) é casado com Dora (Zoe Saldana) e trabalha em uma editora de livros. Ele sonha em publicar seu próprio livro, mas não é capaz de escrever algo bom. Um dia, em uma pequena loja, ele encontra uma pasta com várias folhas amareladas. Rory começa a ler e logo ele resolve transcrevê-la para o computador, palavra por palavra, e a apresenta como se fosse seu livro. Rory se torna um sucesso de vendas. Entretanto, tudo muda quando ele conhece um senhor (Jeremy Irons) que lhe conta a verdade por trás do texto encontrado.",2012-09-07,en,movie,https://image.tmdb.org/t/p/w500/oqOipNARNgfPHiNgz5zjMIFI5v9.jpg,2.2954,6.673,1230,False
314095,tt1212428,Z: A Cidade Perdida,The Lost City of Z,"A incrível história real do explorador britânico Percy Fawcett (Charlie Hunnam), que viaja para a Amazônia no século XX e descobre evidências de uma civilização avançada desconhecida que pode ter habitado a região. Depois de ter sido ridicularizado pelo corpo científico que considera as populações indígenas como selvagens, Fawcett está determinado a retornar à sua amada selva e provar seu caso.",2017-03-15,en,movie,https://image.tmdb.org/t/p/w500/ms4UmEmc0cyK5AN2EGPfadkbXae.jpg,4.8954,6.395,2963,False
75780,tt0790724,Jack Reacher: O Último Tiro,Jack Reacher,"O ex-investigador militar Jack Reacher surge das páginas do livro de Lee Child e invade as telas, neste explosivo filme de suspense que os críticos consideram um thriller superior. Quando cinco pessoas são assassinadas e todas as evidências apontam alguém que jura ser inocente, somente um homem está treinado para pegar os verdadeiros criminosos. A lei tem limites, mas Jack Reacher não, neste sucesso de ação máxima.",2012-12-20,en,movie,https://image.tmdb.org/t/p/w500/14Wj4HZOdPmN2DXNbXXvJH2DwIf.jpg,7.8208,6.645,7281,False
83059,tt0830535,Disfigured,Disfigured,,2008-07-29,en,movie,https://image.tmdb.org/t/p/w500/sDndC9hHt74RLRQfoYBg8G8NBTq.jpg,0.9204,4.9,7,False
374052,tt3908142,The Love Witch,The Love Witch,"Elaine (Samantha Robinson) é uma jovem bruxa que está determinada a encontrar o homem de sua vida. Ela leva homens para seu apartamento e faz magias e poções a fim de seduzi-los. Tudo funciona bem, mas ela acaba com uma série de vítimas infelizes. Quando ela finalmente encontra o homem de seus sonhos, seu desespero para ser amada a torna insana.",2016-11-11,en,movie,https://image.tmdb.org/t/p/w500/xXXnvD2kzfZIhJ4UbgXxU8gsTmb.jpg,1.8803,6.459,576,False
16538,tt1155056,"Eu Te Amo, Cara","I Love You, Man","Peter Klaven (Paul Rudd) é noivo de Zooey (Rashida Jones), a mulher dos seus sonhos. Ao organizar a cerimônia de casamento ele percebe que não tem qualquer amigo mais íntimo o qual possa convidar para ser seu padrinho. Decidido a resolver a situação, ele passa a encontrar vários homens na tentativa de ter uma verdadeira amizade. É assim que conhece Sydney Fife (Jason Segel), com quem se identifica. Eles cada vez se tornam mais amigos, até que esta situação coloca em risco o próprio noivado de Peter.",2009-03-20,en,movie,https://image.tmdb.org/t/p/w500/gKoW5pIWhJvfqWynoG7O0QabhtC.jpg,3.0436,6.577,1804,False
8906,tt1037228,Wolke 9,Wolke 9,,2008-05-17,de,movie,https://image.tmdb.org/t/p/w500/fOO9OZAyJ2sXwtfnjWXrINigopz.jpg,2.0281,5.7,35,False
13490,tt0494652,O Bom Filho à Casa Torna,Welcome Home Roscoe Jenkins,"Para comemorar as Bodas de Ouro de seus pais, o famoso apresentador de talk show, Roscoe Jenkins, volta à sua cidade natal. Depois de anos de ausência e um final de semana repleto de de divertidas confusões, ele começa a repensar as decisões que tomou em sua vida.",2008-02-08,en,movie,https://image.tmdb.org/t/p/w500/sVouzUFigdRg7ZWHTvJOXIBqQ3V.jpg,1.4988,6.0,295,False
615677,tt10600398,Pequenos Grandes Heróis,We Can Be Heroes,"Alienígenas capturam os super-heróis da Terra. Agora, os filhos deles precisam aprender a trabalhar em equipe para salvar os pais, e o planeta.",2020-12-25,en,movie,https://image.tmdb.org/t/p/w500/qz8V4opEXdcY7qeU5djTdrfmuhX.jpg,5.754,6.0,790,False
284293,tt3316960,Para Sempre Alice,Still Alice,"A Dra. Alice Howland (Julianne Moore) é uma renomada professora de linguística. Aos poucos, ela começa a esquecer certas palavras e se perder pelas ruas de Manhattan. Ela é diagnosticada com Alzheimer. A doença coloca em prova a força de sua família. Enquanto a relação de Alice com o marido, John (Alec Baldwinse), fragiliza, ela e a filha caçula, Lydia (Kristen Stewart), se aproximam.",2014-12-05,en,movie,https://image.tmdb.org/t/p/w500/wMfsNZw0zQIM6tvtPmskYPJu0Mu.jpg,3.6706,7.479,3154,False
52067,tt1477837,Um Negócio Nada Seguro,Cedar Rapids,"Um ingênuo vendedor de seguros do interior viaja para uma conferência na cidade grande para salvar o emprego de seus colegas de trabalho, e passa por aventuras inesperadas nesta comédia otimista.",2011-02-11,en,movie,https://image.tmdb.org/t/p/w500/hyDzFEddyH3cHPD117SMdG7x3Fd.jpg,1.0371,5.927,439,False
8343,tt0493395,Badland,Badland,,2007-11-30,en,movie,https://image.tmdb.org/t/p/w500/yndr9Ze8TtEGkb2n5QA0egMN04a.jpg,1.0099,5.818,11,False
14810,tt1194606,Murder.com,Murder.com,,2008-07-17,en,movie,https://image.tmdb.org/t/p/w500/zUnDpcmsDvpVD0uQ2PP0Q9Ry9H2.jpg,0.8446,4.5,6,False
10313,tt1234548,Os Homens Que Encaravam Cabras,The Men Who Stare at Goats,"Bob Wilton é um repórter que tenta se perder de propósito dentro de uma guerra para que ele termine um casamento, mas ele conhece um agente das forças especiais, que revela a existência de uma unidade psíquica militar cujo objetivo é acabar com a guerra.",2009-10-17,en,movie,https://image.tmdb.org/t/p/w500/unblZ2AkNjFXvblVmNLUvskDhdv.jpg,2.5918,5.966,2291,False
938250,tt18235146,Clube Zero,Club Zero,Uma professora aceita um emprego em uma escola de elite e forma um forte vínculo com cinco alunos - um relacionamento que acaba tomando um rumo perigoso.,2023-09-27,fr,movie,https://image.tmdb.org/t/p/w500/mIxtsljvoHxGkC84Hf0k20fhyWf.jpg,2.0343,5.813,83,False
259261,tt2571226,The Anonymous People,The Anonymous People,,2013-08-15,en,movie,,0.0544,3.5,2,False
964909,tt19595494,Next Exit,Next Exit,Dois estranhos infelizes se encontram em uma viagem pelos Estados Unidos para participar de um experimento radical de um cientista com a vida após a morte na pungente estreia de ficção científica de Mali Elfman.,2022-11-04,en,movie,https://image.tmdb.org/t/p/w500/n1x6VMvCwvs3dLH84N7cSrpT0yt.jpg,1.3482,6.021,47,False
927254,tt0498396,The Twits,The Twits,,2025-10-16,en,movie,https://image.tmdb.org/t/p/w500/69FC9DA5vuIiVsxdTmXAxj7v9O5.jpg,0.9857,0.0,0,False
18524,tt0398842,A Profecia Celestina,The Celestine Prophecy,"Baseado no best-seller mundial de James Redfield, The Celestine Prophecy é um filme de aventura espiritual que narra a descoberta de pergaminhos antigos nas florestas tropicais do Peru. A profecia e seus nove principais insights prevêem um despertar mundial, surgindo dentro de todas as tradições religiosas, que move a humanidade em direção a uma experiência mais profunda de espiritualidade.",2006-06-01,en,movie,https://image.tmdb.org/t/p/w500/rP9XSO6pXxcvymhV7FbKLTk6daV.jpg,1.9225,5.1,73,False
716703,tt9264728,Perfeição Insondável,What Lies Below,"Liberty, uma jovem socialmente estranha de 16 anos, retorna de dois meses no acampamento para uma introdução surpresa do noivo de sua mãe, John Smith, cujo charme, inteligência e beleza pintam o quadro de um homem perfeito demais para ser humano.",2020-12-17,en,movie,https://image.tmdb.org/t/p/w500/hSKTSIUNb4XXkwcNJkhgXwqr27w.jpg,1.5914,5.296,196,False
1227816,tt19244260,Red Right Hand,Red Right Hand,"Cash está tentando levar uma vida tranquila e honesta em uma pequena cidade dos Apalaches. Quando uma cruel chefe do crime o obriga a voltar a trabalhar para ela, ele logo descobre que é capaz de qualquer coisa, até mesmo de matar, para proteger sua família e seu lar.",2024-02-22,en,movie,https://image.tmdb.org/t/p/w500/vfEG79SQIg3p6B8rBLVeIo2BBhb.jpg,2.4862,6.71,169,False
310319,tt4239548,Deli Man,Deli Man,,2015-02-27,en,movie,https://image.tmdb.org/t/p/w500/2s0QX7dLe8zVFbEV4OTRVAqOCMM.jpg,0.544,6.808,13,False
476764,tt7074886,O Favorito,The Front Runner,"Gary Hart, ex-senador do Colorado, torna-se o favorito para a indicação presidencial democrata em 1987. Inteligência, carisma e idealismo de Hart o torna popular entre os eleitores jovens, deixando-o com um caminho aparentemente claro para a Casa Branca. Tudo isso desmorona quando as alegações de um caso extraconjugal aparecem na mídia, forçando o candidato a enfrentar um escândalo que ameaça atrapalhar sua campanha e sua vida pessoal.",2018-11-06,en,movie,https://image.tmdb.org/t/p/w500/3bmV2tuxB9uFRJdhfAh88ucQbml.jpg,3.1809,5.9,364,False
14745,tt1045655,Jovens Malditos,The Haunting of Molly Hartley,"Molly Hartley está decidida a deixar para trás todos os problemas do passado assim que começa a estudar numa nova escola. É um ótimo começo, principalmente porque ela inicia um romance com o rapaz mais popular do local. Mas a tensão e o medo novamente tomam conta de Molly. Ela tem dúvidas se conseguirá manter seus segredos enterrados, sobretudo quando ela começa a descobrir terríveis acontecimentos que a esperam quando ela está prestes a comemorar seus 18 anos de idade.",2008-10-31,en,movie,https://image.tmdb.org/t/p/w500/XSy8BKHIa19yMAt7XyO2s9oIT5.jpg,2.5471,4.393,168,False
36791,tt0310154,In This World,In This World,,2003-03-28,en,movie,https://image.tmdb.org/t/p/w500/denzE2tZc3TZ95vQNK3rKo0iDHn.jpg,1.7018,6.3,51,False
461615,tt4717402,Mutafukaz,Mutafukaz,"Angelino é só mais um pé-rapado vivendo em Dark Meat City. Após um acidente de scooter causado por uma bela e misteriosa garota, ele passa a ter violentas dores de cabeça e estranhas alucinações envolvendo criaturas monstruosas à espreita em toda a cidade.",2018-05-23,fr,movie,https://image.tmdb.org/t/p/w500/lwnkzrfBYXDK4JzQsTzSNjFNJVY.jpg,1.6389,7.2,322,False
41915,tt0338249,Merci Docteur Rey,Merci Docteur Rey,,2004-08-20,en,movie,https://image.tmdb.org/t/p/w500/a7e330pjG1BFhbtauWvseduKDsw.jpg,0.4505,5.7,6,False
872709,tt15471560,Fumar Causa Tosse,Fumer fait tousser,,2022-11-30,fr,movie,https://image.tmdb.org/t/p/w500/nX00QDboEMgoOpw1IUe4ZZC9jdq.jpg,0.5355,6.038,380,False
34207,tt0407246,Temporada de patos,Temporada de patos,"Flama e Moko são dois garotos de 14 anos que se conhecem desde crianças e vivem na Cidade do México. A dupla tem tudo para enfrentar mais um entediante domingo: um apartamento sem nenhum pai, muitos videogames, revistas de pornografia, refrigerantes e pizzas. Porém, a companhia de eletricidade, o vizinho Ulisses, uma pintura horrível de patos, onze segundos, o jogo do Real Madri contra o Manchester e alguns biscoitos de chocolate são suficientes para acabar com a paz dos dois adolescentes. Nessa confusão, vêm à tona assuntos como divórcio, solidão, amizade e outros problemas da vida adulta.",2004-10-22,es,movie,https://image.tmdb.org/t/p/w500/6fAtEqYJRyBmyjrXm1ggJsBkbHr.jpg,0.6116,7.083,72,False
250538,tt2652092,Uma Boa Mentira,The Good Lie,"Em tempos de guerra, um grupo de crianças do Sudão é presenteado com a possibilidade de se mudar para os Estados Unidos. Uma nova vida começa ao lado de Carrie, a assistente social que os recebe.",2014-09-10,en,movie,https://image.tmdb.org/t/p/w500/4uSxodl3K5FH8lU8jY3HfLL9xXY.jpg,2.1544,7.389,541,False
508439,tt7146812,Dois Irmãos: Uma Jornada Fantástica,Onward,"Em um mundo transformado, no qual as criaturas não dependiam mais da magia para viver, dois irmãos elfos recebem um cajado de bruxo de seu falecido pai, capaz de trazê-lo de volta à vida. Inexperientes com qualquer tipo de magia, Ian e Barley não conseguem executar o feitiço e acabam gerando uma criatura sem cabeça. Para passar mais um dia com seu pai, eles embarcam em uma jornada fantástica. Ao perceber a ausência dos filhos, sua mãe se une à uma lendária manticora para encontrá-los.",2020-02-29,en,movie,https://image.tmdb.org/t/p/w500/jsi2UM64Mhr6NmY1LKeeCuZOaCo.jpg,4.4013,7.659,6349,False
634571,tt11023922,Depeche Mode: Espíritos na Floresta,Spirits in the Forest,Documentário inédito e exclusivo que revisita alguns dos maiores sucessos do Depeche Mode do ponto de vista dos fãs. Eles contam sua relação com a banda enquanto se preparam para ir ao show dos ídolos.,2019-11-21,en,movie,https://image.tmdb.org/t/p/w500/b5TxqFcqQ6eyAOp4i3hgUY2BLiY.jpg,0.6035,7.1,31,False
850028,tt11687104,Querida Alice,"Alice, Darling",Uma jovem mulher presa em um relacionamento abusivo se torna uma participante involuntária de uma intervenção encenada pelas duas amigas mais próximas dela.,2022-12-30,en,movie,https://image.tmdb.org/t/p/w500/3hGzrqIe24f7DyD3YD5U9qUdLHX.jpg,2.2245,5.699,264,False
47574,tt0259442,The Monkey's Mask,The Monkey's Mask,,2001-05-10,en,movie,https://image.tmdb.org/t/p/w500/ndjld6gVqYxsdxG99hnNjwWVZDk.jpg,1.0803,4.346,39,False
643550,tt11044858,Noturno,Nocturne,"Ao descobrir o misterioso diário de uma colega de classe falecida, uma tímida estudante de música passa a ofuscar sua irmã gêmea na escola de música em que ambas estudam.",2020-10-13,en,movie,https://image.tmdb.org/t/p/w500/lIVmhFMj4nfq1mURy6UhyccbUcX.jpg,2.1126,5.871,483,False
83890,tt1907707,LUV,LUV,"Desde que a mãe de Woody desapareceu, o jovem de 13 anos de idade vive com a avó e com o tio Vincent, que acaba de sair da prisão. Woody inicia uma relação de confiança com o tio, que decide ensinar o sobrinho como ser um homem de verdade. Quando Vincent inicia um negócio por conta própria, Woody é escolhido para ajudá-lo. O garoto deve aprender rapidamente a se comportar como um adulto.",2013-01-18,en,movie,https://image.tmdb.org/t/p/w500/6LdEUiWabM1ixVKISsqDZ8jPbFv.jpg,0.2138,5.8,40,False
999243,tt21267296,Um Verão Infernal,Hell of a Summer,"O monitor de acampamento Jason Hochberg, de 24 anos, chega ao Acampamento Pineway pensando que seu maior problema é se sentir desconectado de seus colegas adolescentes. O que ele não sabe é que um assassino mascarado está à espreita no acampamento, matando brutalmente os monitores, um por um.",2025-04-03,en,movie,https://image.tmdb.org/t/p/w500/nBo3cabYexofo5rO6ve47JCshVP.jpg,8.6831,5.704,93,False
490132,tt6966692,Green Book: O Guia,Green Book,"Quando Tony Lip, um segurança ítalo-americano, é contratado como motorista do Dr. Don Shirley, um pianista negro de classe alta, durante uma turnê pelo sul dos Estados Unidos, eles devem seguir o O Guia para leva-los aos poucos estabelecimentos que eram seguros para os afro-americanos. Confrontados com o racismo, o perigo, assim como pela humanidade e o humor inesperados, eles são forçados a deixar de lado as diferenças para sobreviver e prosperar nessa jornada.",2018-11-16,en,movie,https://image.tmdb.org/t/p/w500/dVclo60FPdCuFIGsIlAm417KBSD.jpg,9.9388,8.227,12195,False
147697,tt1351105,Anna Halprin : le souffle de la danse,Anna Halprin : le souffle de la danse,,2009-08-07,fr,movie,https://image.tmdb.org/t/p/w500/fDDKt2RrPLaK53xBfah5DXYvxdo.jpg,0.283,7.2,2,False
459202,tt6217804,Boo 2! O Halloween de Madea,Boo 2! A Madea Halloween,"Madea, (Tyler Perry), Tia Bam (Cassi Davis) e Hattie (Patrice Lovely) se aventuraram em um acampamento assombrado. Lá o grupo deve correr por suas vidas quando monstros, goblins e o bicho-papão estão soltos.",2017-10-20,en,movie,https://image.tmdb.org/t/p/w500/18JeOCuDpVbocIbioIrGrO2A5aq.jpg,2.1445,5.7,487,False
1417502,tt35396513,Los Rechazados,Los Rechazados,,2025-03-06,es,movie,https://image.tmdb.org/t/p/w500/qcvb47ohemoYDUydhGXTFrq2R5u.jpg,0.9622,7.429,7,False
541134,tt4273800,O Enfermeiro da Noite,The Good Nurse,"Suspeitando que seu colega é responsável pelas mortes misteriosas de pacientes, uma enfermeira sobrecarregada arrisca sua própria vida para descobrir a verdade.",2022-10-19,en,movie,https://image.tmdb.org/t/p/w500/cTp35hVdiVFEVOTSO7HLhmiXx8f.jpg,2.0088,6.872,1323,False
18487,tt1111422,O Sequestro do Metrô 1 2 3,The Taking of Pelham 1 2 3,"Walter Garber é um executivo da companhia de metrô da cidade de Nova York que, devido a uma suspeita de suborno, foi rebaixado para a função de coordenador de tráfego. Quando um dos trens do metrô, o Pelham 1 2 3, é sequestrado por um misterioso grupo, é ele quem mantém contato com Ryder, líder dos sequestradores. Ryder exige que a prefeitura lhe pague US$ 10 milhões em uma hora, caso contrário matará um refém a cada minuto extra. A polícia envia à sede do metrô o negociador Camonetti, mas Ryder exige que Garber continue na função.",2009-06-10,en,movie,https://image.tmdb.org/t/p/w500/bFU7CYHAaiOYN7nLCRgw60fIkJR.jpg,3.0165,6.353,3227,False
575774,tt8508734,O Que Ficou para Trás,His House,"Um jovem casal sudanês foge da guerra para recomeçar a vida na Inglaterra, mas é atormentado por uma força sinistra que vive em sua nova casa.",2020-01-27,en,movie,https://image.tmdb.org/t/p/w500/1A0jzG0fsngFDl3dw2HwIQxB7zu.jpg,3.1056,6.406,1149,False
765897,tt5181260,Invencível,The Unbreakable Boy,"Um menino tem uma doença rara de ossos frágeis e autismo. Mas o que o torna verdadeiramente único é a sua visão de mundo alegre, divertida e afirmativa, que transforma e une todos ao seu redor.",2025-02-20,en,movie,https://image.tmdb.org/t/p/w500/4vzSdzQGvP0TIpQHNa4Ip6op0Ts.jpg,2.4519,7.602,98,False
286567,tt1472584,Max Steel,Max Steel,"O jovem Max McGrath (Ben Winchell) descobre que seu corpo pode gerar uma poderosa energia, e ele deve unir-se com o único ser capaz de conter esta energia: um misterioso extraterrestre tecno-orgânico chamado Steel. Unidos como o super-herói Max Steel, os dois amigos devem combater uma ameaça alienígena e desvendar os segredos do seu passado.",2016-10-14,en,movie,https://image.tmdb.org/t/p/w500/AuEzNLF8yvzd169guYEFisqvy5z.jpg,2.3307,5.601,814,False
536869,tt5697572,Cats,Cats,"Uma tribo de gatos chamada Jellicles todo ano precisa tomar uma grande decisão em uma noite especial: escolher um dos gatos para ascender para o Heaviside Layer e conseguir uma nova e melhor vida. Cada um dos gatos conta a sua história para seu líder, o velho Deuteronomy, na tentativa de ser o escolhido.",2019-12-19,en,movie,https://image.tmdb.org/t/p/w500/5XIZDh3n6BZAy00PqXpK1D16tZg.jpg,3.0053,4.085,1010,False
271462,tt0215139,Russian Doll,Russian Doll,,2001-06-14,en,movie,https://image.tmdb.org/t/p/w500/pnFpOCwn2C1eY5uSS7oQ5lUkF4f.jpg,0.6059,6.167,6,False
398924,tt5091612,Os Meninos Que Enganavam Nazistas,Un sac de billes,"Durante um período de ocupação nazista na França, os jovens irmãos judeus Maurice e Joseph embarcam em uma aventura para escapar dos nazistas. Em meio a invasão e a perseguição, eles se monstram espertos, corajosos e inteligentes em sua escapada.",2017-01-18,fr,movie,https://image.tmdb.org/t/p/w500/o9yyogXcUZG3NaBgXvwJMcEQ4b7.jpg,0.9845,7.813,875,False
185201,tt0326988,Je Chanterai Pour Toi,Je Chanterai Pour Toi,,2001-03-31,fr,movie,https://image.tmdb.org/t/p/w500/7SInFYX6QVwdUPgIL1ijmUPh4D2.jpg,0.0746,4.0,1,False
